iR,iZ,start,length
0,0,0,1000
0,1,1000,1000
0,2,2000,1000
0,3,3000,1000
0,4,4000,1000
0,5,5000,1000
0,6,6000,1000
0,7,7000,1000
0,8,8000,1000
0,9,9000,1000
0,10,10000,1000
0,11,11000,1000
0,12,12000,1000
0,13,13000,1000
0,14,14000,1000
0,15,15000,1000
0,16,16000,1000
0,17,17000,1000
0,18,18000,1000
0,19,19000,1000
0,20,20000,1000
0,21,21000,1000
0,22,22000,1000
0,23,23000,1000
0,24,24000,1000
0,25,25000,1000
0,26,26000,1000
0,27,27000,1000
0,28,28000,1000
0,29,29000,1000
0,30,30000,1000
0,31,31000,1000
0,32,32000,1000
0,33,33000,1000
0,34,34000,1000
0,35,35000,1000
0,36,36000,1000
0,37,37000,1000
0,38,38000,1000
0,39,39000,1000
1,0,40000,1000
1,1,41000,1000
1,2,42000,1000
1,3,43000,1000
1,4,44000,1000
1,5,45000,1000
1,6,46000,1000
1,7,47000,1000
1,8,48000,1000
1,9,49000,1000
1,10,50000,1000
1,11,51000,1000
1,12,52000,1000
1,13,53000,1000
1,14,54000,1000
1,15,55000,1000
1,16,56000,1000
1,17,57000,1000
1,18,58000,1000
1,19,59000,1000
1,20,60000,1000
1,21,61000,1000
1,22,62000,1000
1,23,63000,1000
1,24,64000,1000
1,25,65000,1000
1,26,66000,1000
1,27,67000,1000
1,28,68000,1000
1,29,69000,1000
1,30,70000,1000
1,31,71000,1000
1,32,72000,1000
1,33,73000,1000
1,34,74000,1000
1,35,75000,1000
1,36,76000,1000
1,37,77000,1000
1,38,78000,1000
1,39,79000,1000
2,0,80000,1000
2,1,81000,1000
2,2,82000,1000
2,3,83000,1000
2,4,84000,1000
2,5,85000,1000
2,6,86000,1000
2,7,87000,1000
2,8,88000,1000
2,9,89000,1000
2,10,90000,1000
2,11,91000,1000
2,12,92000,1000
2,13,93000,1000
2,14,94000,1000
2,15,95000,1000
2,16,96000,1000
2,17,97000,1000
2,18,98000,1000
2,19,99000,1000
2,20,100000,1000
2,21,101000,1000
2,22,102000,1000
2,23,103000,1000
2,24,104000,1000
2,25,105000,1000
2,26,106000,1000
2,27,107000,1000
2,28,108000,1000
2,29,109000,1000
2,30,110000,1000
2,31,111000,1000
2,32,112000,1000
2,33,113000,1000
2,34,114000,1000
2,35,115000,1000
2,36,116000,1000
2,37,117000,1000
2,38,118000,1000
2,39,119000,1000
3,0,120000,1000
3,1,121000,1000
3,2,122000,1000
3,3,123000,1000
3,4,124000,1000
3,5,125000,1000
3,6,126000,1000
3,7,127000,1000
3,8,128000,1000
3,9,129000,1000
3,10,130000,1000
3,11,131000,1000
3,12,132000,1000
3,13,133000,1000
3,14,134000,1000
3,15,135000,1000
3,16,136000,1000
3,17,137000,1000
3,18,138000,1000
3,19,139000,1000
3,20,140000,1000
3,21,141000,1000
3,22,142000,1000
3,23,143000,1000
3,24,144000,1000
3,25,145000,1000
3,26,146000,1000
3,27,147000,1000
3,28,148000,1000
3,29,149000,1000
3,30,150000,1000
3,31,151000,1000
3,32,152000,1000
3,33,153000,1000
3,34,154000,1000
3,35,155000,1000
3,36,156000,1000
3,37,157000,1000
3,38,158000,1000
3,39,159000,1000
4,0,160000,1000
4,1,161000,1000
4,2,162000,1000
4,3,163000,1000
4,4,164000,1000
4,5,165000,1000
4,6,166000,1000
4,7,167000,1000
4,8,168000,1000
4,9,169000,1000
4,10,170000,1000
4,11,171000,1000
4,12,172000,1000
4,13,173000,1000
4,14,174000,1000
4,15,175000,1000
4,16,176000,1000
4,17,177000,1000
4,18,178000,1000
4,19,179000,1000
4,20,180000,1000
4,21,181000,1000
4,22,182000,1000
4,23,183000,1000
4,24,184000,1000
4,25,185000,1000
4,26,186000,1000
4,27,187000,1000
4,28,188000,1000
4,29,189000,1000
4,30,190000,1000
4,31,191000,1000
4,32,192000,1000
4,33,193000,1000
4,34,194000,1000
4,35,195000,1000
4,36,196000,1000
4,37,197000,1000
4,38,198000,1000
4,39,199000,1000
5,0,200000,1000
5,1,201000,1000
5,2,202000,1000
5,3,203000,1000
5,4,204000,1000
5,5,205000,1000
5,6,206000,1000
5,7,207000,1000
5,8,208000,1000
5,9,209000,1000
5,10,210000,1000
5,11,211000,1000
5,12,212000,1000
5,13,213000,1000
5,14,214000,1000
5,15,215000,1000
5,16,216000,1000
5,17,217000,1000
5,18,218000,1000
5,19,219000,1000
5,20,220000,1000
5,21,221000,1000
5,22,222000,1000
5,23,223000,1000
5,24,224000,1000
5,25,225000,1000
5,26,226000,1000
5,27,227000,1000
5,28,228000,1000
5,29,229000,1000
5,30,230000,1000
5,31,231000,1000
5,32,232000,1000
5,33,233000,1000
5,34,234000,1000
5,35,235000,1000
5,36,236000,1000
5,37,237000,1000
5,38,238000,1000
5,39,239000,1000
6,0,240000,1000
6,1,241000,1000
6,2,242000,1000
6,3,243000,1000
6,4,244000,1000
6,5,245000,1000
6,6,246000,1000
6,7,247000,1000
6,8,248000,1000
6,9,249000,1000
6,10,250000,1000
6,11,251000,1000
6,12,252000,1000
6,13,253000,1000
6,14,254000,1000
6,15,255000,1000
6,16,256000,1000
6,17,257000,1000
6,18,258000,1000
6,19,259000,1000
6,20,260000,1000
6,21,261000,1000
6,22,262000,1000
6,23,263000,1000
6,24,264000,1000
6,25,265000,1000
6,26,266000,1000
6,27,267000,1000
6,28,268000,1000
6,29,269000,1000
6,30,270000,1000
6,31,271000,1000
6,32,272000,1000
6,33,273000,1000
6,34,274000,1000
6,35,275000,1000
6,36,276000,1000
6,37,277000,1000
6,38,278000,1000
6,39,279000,1000
7,0,280000,1000
7,1,281000,1000
7,2,282000,1000
